time	V(ch1)	V(ch2)	V(n001)	V(n003)
Step Information: Rl=10  (Step: 1/46)
6.546241519809184e-03	-8.930256e+00	7.569860e+00	-6.801978e-01	8.250058e+00
6.604835269809184e-03	-9.065949e+00	7.703812e+00	-6.810691e-01	8.384881e+00
6.663429019809183e-03	-9.190517e+00	7.826804e+00	-6.818565e-01	8.508660e+00
6.722022769809183e-03	-9.303767e+00	7.938641e+00	-6.825632e-01	8.621203e+00
6.780616519809182e-03	-9.405557e+00	8.039176e+00	-6.831903e-01	8.722366e+00
6.839210269809182e-03	-9.495728e+00	8.128246e+00	-6.837405e-01	8.811987e+00
6.897804019809182e-03	-9.574165e+00	8.205737e+00	-6.842142e-01	8.889952e+00
6.956397769809181e-03	-9.640744e+00	8.271517e+00	-6.846137e-01	8.956131e+00
7.014991519809181e-03	-9.695384e+00	8.325506e+00	-6.849390e-01	9.010446e+00
7.073585269809180e-03	-9.737988e+00	8.367605e+00	-6.851917e-01	9.052797e+00
7.132179019809180e-03	-9.768511e+00	8.397767e+00	-6.853716e-01	9.083138e+00
7.190772769809180e-03	-9.786886e+00	8.415926e+00	-6.854801e-01	9.101406e+00
7.249366519809179e-03	-9.793101e+00	8.422069e+00	-6.855164e-01	9.107585e+00
7.307960269809179e-03	-9.787127e+00	8.416163e+00	-6.854815e-01	9.101645e+00
7.366554019809179e-03	-9.768979e+00	8.398230e+00	-6.853745e-01	9.083604e+00
7.425147769809178e-03	-9.738662e+00	8.368270e+00	-6.851958e-01	9.053466e+00
7.483741519809178e-03	-9.696225e+00	8.326337e+00	-6.849441e-01	9.011281e+00
7.542335269809177e-03	-9.641706e+00	8.272468e+00	-6.846197e-01	8.957088e+00
7.600929019809177e-03	-9.575190e+00	8.206748e+00	-6.842207e-01	8.890968e+00
7.659522769809177e-03	-9.496741e+00	8.129248e+00	-6.837469e-01	8.812994e+00
7.718116519809176e-03	-9.406479e+00	8.040087e+00	-6.831963e-01	8.723283e+00
7.776710269809176e-03	-9.304502e+00	7.939367e+00	-6.825681e-01	8.621935e+00
7.835304019809176e-03	-9.190961e+00	7.827242e+00	-6.818597e-01	8.509101e+00
7.893897769809177e-03	-9.065986e+00	7.703846e+00	-6.810698e-01	8.384915e+00
7.952491519809177e-03	-8.929755e+00	7.569365e+00	-6.801952e-01	8.249559e+00
8.011085269809178e-03	-8.782433e+00	7.423965e+00	-6.792339e-01	8.103198e+00
8.069679019809178e-03	-8.624228e+00	7.267863e+00	-6.781820e-01	7.946045e+00
8.128272769809179e-03	-8.455332e+00	7.101258e+00	-6.770368e-01	7.778295e+00
8.186866519809179e-03	-8.275984e+00	6.924397e+00	-6.757932e-01	7.600190e+00
8.245460269809180e-03	-8.086404e+00	6.737509e+00	-6.744475e-01	7.411957e+00
8.304054019809180e-03	-7.886860e+00	6.540873e+00	-6.729934e-01	7.213866e+00
8.362647769809181e-03	-7.677598e+00	6.334747e+00	-6.714256e-01	7.006172e+00
8.421241519809181e-03	-7.458911e+00	6.119439e+00	-6.697361e-01	6.789175e+00
8.479835269809182e-03	-7.231073e+00	5.895238e+00	-6.679177e-01	6.563156e+00
8.538429019809182e-03	-6.994401e+00	5.662482e+00	-6.659598e-01	6.328442e+00
8.597022769809183e-03	-6.749193e+00	5.421488e+00	-6.638525e-01	6.085340e+00
8.655616519809183e-03	-6.495788e+00	5.172625e+00	-6.615815e-01	5.834207e+00
8.714210269809184e-03	-6.234506e+00	4.916241e+00	-6.591327e-01	5.575374e+00
8.772804019809184e-03	-5.965708e+00	4.652735e+00	-6.564864e-01	5.309221e+00
8.831397769809185e-03	-5.689733e+00	4.382489e+00	-6.536219e-01	5.036110e+00
8.889991519809185e-03	-5.406959e+00	4.105937e+00	-6.505108e-01	4.756448e+00
8.948585269809186e-03	-5.117743e+00	3.823500e+00	-6.471216e-01	4.470622e+00
9.007179019809186e-03	-4.822481e+00	3.535658e+00	-6.434113e-01	4.179069e+00
9.065772769809187e-03	-4.521540e+00	3.242881e+00	-6.393291e-01	3.882210e+00
9.124366519809187e-03	-4.215326e+00	2.945716e+00	-6.348052e-01	3.580521e+00
9.182960269809188e-03	-3.904217e+00	2.644714e+00	-6.297516e-01	3.274466e+00
9.241554019809188e-03	-3.588623e+00	2.340537e+00	-6.240432e-01	2.964580e+00
9.300147769809189e-03	-3.268918e+00	2.033899e+00	-6.175095e-01	2.651409e+00
9.358741519809189e-03	-2.945500e+00	1.725713e+00	-6.098934e-01	2.335606e+00
9.417335269809190e-03	-2.618713e+00	1.417107e+00	-6.008031e-01	2.017910e+00
9.475929019809190e-03	-2.288892e+00	1.109740e+00	-5.895762e-01	1.699316e+00
9.534522769809190e-03	-1.956243e+00	8.062301e-01	-5.750062e-01	1.381236e+00
9.593116519809191e-03	-1.620696e+00	5.123615e-01	-5.541674e-01	1.066529e+00
9.651710269809191e-03	-1.281400e+00	2.414823e-01	-5.199591e-01	7.614413e-01
9.710304019809192e-03	-9.337086e-01	4.543523e-02	-4.441367e-01	4.895719e-01
9.742687521688886e-03	-7.342914e-01	7.620178e-03	-3.633356e-01	3.709558e-01
9.772403055547916e-03	-5.484850e-01	1.061348e-03	-2.737118e-01	2.747732e-01
9.791841441261669e-03	-4.266109e-01	2.585439e-04	-2.131762e-01	2.134347e-01
9.816321983112426e-03	-2.731172e-01	5.691214e-05	-1.365301e-01	1.365870e-01
9.851138097587777e-03	-5.497516e-02	-1.129182e-05	-2.749322e-02	2.748193e-02
9.903593546425091e-03	2.730556e-01	5.968653e-05	1.365576e-01	-1.364979e-01
9.962187296425092e-03	6.379322e-01	2.773936e-03	3.203531e-01	-3.175792e-01
1.000391830501388e-02	8.938506e-01	3.345665e-02	4.636536e-01	-4.301970e-01
1.004253349558193e-02	1.122372e+00	1.352261e-01	6.287993e-01	-4.935732e-01
1.008117477441753e-02	1.344846e+00	2.887700e-01	8.168082e-01	-5.280382e-01
1.013976852441753e-02	1.676160e+00	5.594426e-01	1.117802e+00	-5.583588e-01
1.019836227441753e-02	2.002548e+00	8.481427e-01	1.425346e+00	-5.772028e-01
1.025695602441753e-02	2.324777e+00	1.142494e+00	1.733636e+00	-5.911414e-01
1.031554977441753e-02	2.642686e+00	1.439423e+00	2.041055e+00	-6.016315e-01
1.037414352441753e-02	2.956127e+00	1.735753e+00	2.345940e+00	-6.101872e-01
1.043273727441753e-02	3.264796e+00	2.029943e+00	2.647369e+00	-6.174265e-01
1.049133102441753e-02	3.568333e+00	2.321021e+00	2.944677e+00	-6.236562e-01
1.054992477441753e-02	3.866375e+00	2.608174e+00	3.237275e+00	-6.291007e-01
1.060851852441753e-02	4.158551e+00	2.890712e+00	3.524632e+00	-6.339196e-01
1.066711227441753e-02	4.444491e+00	3.168037e+00	3.806264e+00	-6.382272e-01
1.072570602441753e-02	4.723826e+00	3.439611e+00	4.081718e+00	-6.421076e-01
1.078429977441753e-02	4.996194e+00	3.704944e+00	4.350569e+00	-6.456253e-01
1.084289352441753e-02	5.261239e+00	3.963579e+00	4.612409e+00	-6.488297e-01
1.090148727441754e-02	5.518611e+00	4.215090e+00	4.866850e+00	-6.517604e-01
1.096008102441754e-02	5.767972e+00	4.459074e+00	5.113523e+00	-6.544487e-01
