Freq.	V(ch2)/V(ch1)
1.32868581409652e+01	(-2.96410395035542e+01dB,8.90530739851957e+01°)
1.33792755478612e+01	(-2.95808500621213e+01dB,8.90464888057150e+01°)
1.34723357686569e+01	(-2.95206608517609e+01dB,8.90398578481460e+01°)
1.35660432744768e+01	(-2.94604718756967e+01dB,8.90331807946114e+01°)
1.36604025675440e+01	(-2.94002831371975e+01dB,8.90264573250346e+01°)
1.37554181813975e+01	(-2.93400946395778e+01dB,8.90196871171237e+01°)
1.38510946811093e+01	(-2.92799063861981e+01dB,8.90128698463570e+01°)
1.39474366635041e+01	(-2.92197183804658e+01dB,8.90060051859676e+01°)
1.40444487573800e+01	(-2.91595306258360e+01dB,8.89990928069278e+01°)
1.41421356237310e+01	(-2.90993431258116e+01dB,8.89921323779339e+01°)
1.42405019559708e+01	(-2.90391558839447e+01dB,8.89851235653904e+01°)
1.43395524801583e+01	(-2.89789689038368e+01dB,8.89780660333945e+01°)
1.44392919552250e+01	(-2.89187821891395e+01dB,8.89709594437204e+01°)
1.45397251732032e+01	(-2.88585957435555e+01dB,8.89638034558031e+01°)
1.46408569594563e+01	(-2.87984095708389e+01dB,8.89565977267226e+01°)
1.47426921729111e+01	(-2.87382236747965e+01dB,8.89493419111881e+01°)
1.48452357062906e+01	(-2.86780380592876e+01dB,8.89420356615211e+01°)
1.49484924863494e+01	(-2.86178527282259e+01dB,8.89346786276398e+01°)
1.50524674741107e+01	(-2.85576676855793e+01dB,8.89272704570424e+01°)
1.51571656651040e+01	(-2.84974829353710e+01dB,8.89198107947904e+01°)
1.52625920896057e+01	(-2.84372984816806e+01dB,8.89122992834924e+01°)
1.53687518128802e+01	(-2.83771143286442e+01dB,8.89047355632869e+01°)
1.54756499354240e+01	(-2.83169304804557e+01dB,8.88971192718258e+01°)
1.55832915932101e+01	(-2.82567469413675e+01dB,8.88894500442574e+01°)
1.56916819579351e+01	(-2.81965637156912e+01dB,8.88817275132092e+01°)
1.58008262372676e+01	(-2.81363808077987e+01dB,8.88739513087707e+01°)
1.59107296750985e+01	(-2.80761982221225e+01dB,8.88661210584763e+01°)
1.60213975517925e+01	(-2.80160159631570e+01dB,8.88582363872878e+01°)
1.61328351844426e+01	(-2.79558340354595e+01dB,8.88502969175768e+01°)
1.62450479271248e+01	(-2.78956524436504e+01dB,8.88423022691074e+01°)
1.63580411711557e+01	(-2.78354711924149e+01dB,8.88342520590179e+01°)
1.64718203453516e+01	(-2.77752902865031e+01dB,8.88261459018034e+01°)
1.65863909162889e+01	(-2.77151097307316e+01dB,8.88179834092977e+01°)
1.67017583885675e+01	(-2.76549295299840e+01dB,8.88097641906553e+01°)
1.68179283050744e+01	(-2.75947496892119e+01dB,8.88014878523328e+01°)
1.69349062472506e+01	(-2.75345702134361e+01dB,8.87931539980711e+01°)
1.70526978353592e+01	(-2.74743911077472e+01dB,8.87847622288767e+01°)
1.71713087287552e+01	(-2.74142123773067e+01dB,8.87763121430030e+01°)
1.72907446261574e+01	(-2.73540340273481e+01dB,8.87678033359321e+01°)
1.74110112659226e+01	(-2.72938560631779e+01dB,8.87592354003554e+01°)
1.75321144263208e+01	(-2.72336784901764e+01dB,8.87506079261550e+01°)
1.76540599258132e+01	(-2.71735013137990e+01dB,8.87419205003846e+01°)
1.77768536233315e+01	(-2.71133245395769e+01dB,8.87331727072506e+01°)
1.79005014185596e+01	(-2.70531481731186e+01dB,8.87243641280922e+01°)
1.80250092522167e+01	(-2.69929722201105e+01dB,8.87154943413625e+01°)
1.81503831063433e+01	(-2.69327966863185e+01dB,8.87065629226090e+01°)
1.82766290045881e+01	(-2.68726215775886e+01dB,8.86975694444535e+01°)
1.84037530124976e+01	(-2.68124468998483e+01dB,8.86885134765726e+01°)
1.85317612378075e+01	(-2.67522726591077e+01dB,8.86793945856779e+01°)
1.86606598307363e+01	(-2.66920988614606e+01dB,8.86702123354958e+01°)
1.87904549842804e+01	(-2.66319255130857e+01dB,8.86609662867472e+01°)
1.89211529345120e+01	(-2.65717526202478e+01dB,8.86516559971275e+01°)
1.90527599608789e+01	(-2.65115801892989e+01dB,8.86422810212861e+01°)
1.91852823865054e+01	(-2.64514082266794e+01dB,8.86328409108056e+01°)
1.93187265784970e+01	(-2.63912367389196e+01dB,8.86233352141815e+01°)
1.94530989482459e+01	(-2.63310657326406e+01dB,8.86137634768012e+01°)
1.95884059517387e+01	(-2.62708952145558e+01dB,8.86041252409229e+01°)
1.97246540898673e+01	(-2.62107251914719e+01dB,8.85944200456550e+01°)
