x_rel,y_rel,x_abs,res
108.0,48.5,3923.574007220217,low
109.0,49.0,3959.3176895306865,low
110.0,50.0,3995.0613718411555,low
111.0,50.0,4030.805054151625,low
112.0,50.0,4066.5487364620944,low
113.0,48.5,4102.292418772564,low
114.0,48.5,4138.036101083033,low
115.0,48.5,4173.779783393502,low
116.0,48.5,4209.523465703972,low
117.0,49.0,4245.267148014441,low
118.0,49.0,4281.01083032491,low
119.0,51.44444444444446,4316.75451263538,low
120.0,60.5,4352.498194945849,low
121.0,61.5,4388.241877256318,low
122.0,67.5,4423.985559566788,low
123.0,74.0,4459.729241877257,low
124.0,83.89473684210526,4495.472924187726,low
125.0,91.0,4531.216606498196,low
126.0,91.5,4566.960288808665,low
127.0,83.0,4602.703971119134,low
128.0,79.5,4638.447653429604,low
129.0,72.5,4674.191335740073,low
130.0,72.0,4709.935018050542,low
131.0,71.0,4745.678700361012,low
132.0,70.5,4781.422382671481,low
133.0,64.0,4817.16606498195,low
134.0,58.5,4852.9097472924195,low
135.0,54.5,4888.6534296028885,low
136.0,50.0,4924.397111913358,low
137.0,49.0,4960.1407942238275,low
138.0,49.0,4995.8844765342965,low
139.0,49.0,5031.6281588447655,low
140.0,48.5,5067.371841155235,low
141.0,48.5,5103.115523465704,low
142.0,49.0,5138.859205776173,low
143.0,48.5,5174.602888086643,low
144.0,48.0,5210.346570397112,low
145.0,48.5,5246.090252707581,low
146.0,48.5,5281.833935018051,low
147.0,49.0,5317.57761732852,low
148.0,49.0,5353.321299638989,low
149.0,48.5,5389.064981949459,low
150.0,48.5,5424.808664259928,low
151.0,48.5,5460.552346570397,low
152.0,48.0,5496.296028880867,low
153.0,48.5,5532.039711191336,low
154.0,48.5,5567.783393501805,low
155.0,48.5,5603.527075812275,low
156.0,48.5,5639.270758122744,low
157.0,48.5,5675.014440433213,low
158.0,48.0,5710.758122743683,low
159.0,48.0,5746.501805054152,low
160.0,48.5,5782.245487364621,low
161.0,48.0,5817.989169675091,low
162.0,48.0,5853.73285198556,low
163.0,48.5,5889.476534296029,low
164.0,48.0,5925.220216606499,low
165.0,48.0,5960.963898916968,low
166.0,48.0,5996.707581227437,low
167.0,48.0,6032.451263537907,low
168.0,48.5,6068.194945848376,low
169.0,48.0,6103.938628158845,low
170.0,47.83333333333334,6139.682310469315,low
171.0,48.0,6175.425992779784,low
172.0,48.0,6211.169675090253,low
173.0,48.0,6246.913357400723,low
174.0,48.5,6282.657039711192,low
175.0,48.5,6318.400722021661,low
176.0,48.0,6354.144404332131,low
177.0,48.0,6389.8880866426,low
178.0,48.0,6425.631768953069,low
179.0,48.5,6461.375451263539,low
180.0,49.0,6497.119133574008,low
181.0,50.0,6532.862815884477,low
182.0,50.5,6568.606498194947,low
183.0,51.0,6604.350180505416,low
184.0,51.5,6640.093862815885,low
185.0,52.0,6675.837545126355,low
186.0,52.0,6711.581227436824,low
187.0,51.5,6747.324909747293,low
188.0,51.5,6783.0685920577625,low
189.0,51.0,6818.812274368232,low
190.0,50.0,6854.555956678701,low
191.0,50.5,6890.2996389891705,low
192.0,51.0,6926.0433212996395,low
193.0,51.0,6961.7870036101085,low
194.0,50.0,6997.530685920578,low
195.0,50.0,7033.274368231047,low
196.0,48.5,7069.018050541517,low
197.0,48.0,7104.761732851986,low
198.0,48.5,7140.505415162455,low
199.0,48.5,7176.249097472925,low
200.0,48.0,7211.992779783394,low
201.0,48.0,7247.736462093863,low
202.0,48.0,7283.480144404333,low
203.0,48.0,7319.223826714802,low
204.0,48.0,7354.967509025271,low
205.0,48.0,7390.711191335741,low
206.0,48.0,7426.45487364621,low
