1st order (&b / °),,,5th order (&b / °),,,1st order (Lattice Plane),,,5th order (Lattice Plane),,
&b / °,R_0 / 1/s,Trial,&b / °,R_0 / 1/s,Trial,n&l / pm,R_0 / 1/s,Trial,n&l / pm,R_0 / 1/s,Trial
,,,38.4,4.037,3,,,,38.4,4.037,3
,,,38.5,4.345,3,,,,38.5,4.345,3
,,,38.6,4.457,3,,,,38.6,4.457,3
,,,38.7,4.588,3,,,,38.7,4.588,3
,,,38.8,4.598,3,,,,38.8,4.598,3
,,,38.9,5.935,3,,,,38.9,5.935,3
,,,39,8.05,3,,,,39,8.05,3
,,,39.1,8.985,3,,,,39.1,8.985,3
,,,39.2,7.225,3,,,,39.2,7.225,3
,,,39.3,6.638,3,,,,39.3,6.638,3
,,,39.4,6.065,3,,,,39.4,6.065,3
,,,39.5,5.025,3,,,,39.5,5.025,3
,,,39.6,4.088,3,,,,39.6,4.088,3
,,,39.7,4.082,3,,,,39.7,4.082,3
,,,39.8,4.2,3,,,,39.8,4.2,3
,,,39.9,3.71,3,,,,39.9,3.71,3
,,,40,4.032,3,,,,40,4.032,3
,,,40.1,3.75,3,,,,40.1,3.75,3
,,,40.2,3.905,3,,,,40.2,3.905,3
,,,40.3,3.743,3,,,,40.3,3.743,3
,,,40.4,3.735,3,,,,40.4,3.735,3
,,,40.5,3.737,3,,,,40.5,3.737,3
