time	V(in)	V(out)
5.909745937500067e-02	-4.564263e+00	-5.732862e-01
5.931230312500067e-02	-4.582392e+00	-7.574672e-01
5.963456875000066e-02	-4.608182e+00	-1.019470e+00
5.995683437500066e-02	-4.632380e+00	-1.265293e+00
6.035582991071495e-02	-4.659921e+00	-1.545090e+00
6.075482544642923e-02	-4.685712e+00	-1.807110e+00
6.115382098214352e-02	-4.709754e+00	-2.051354e+00
6.155281651785780e-02	-4.732046e+00	-2.277820e+00
6.195181205357209e-02	-4.752588e+00	-2.486510e+00
6.235080758928637e-02	-4.771381e+00	-2.677423e+00
6.274980312500066e-02	-4.788423e+00	-2.850560e+00
6.321018258928637e-02	-4.806535e+00	-3.034556e+00
6.367056205357208e-02	-4.823358e+00	-3.205466e+00
6.413094151785780e-02	-4.838893e+00	-3.363291e+00
6.459132098214350e-02	-4.853140e+00	-3.508029e+00
6.505170044642922e-02	-4.866099e+00	-3.639682e+00
6.551207991071492e-02	-4.877770e+00	-3.758249e+00
6.597245937500064e-02	-4.888153e+00	-3.863729e+00
6.643283883928636e-02	-4.897727e+00	-3.960997e+00
6.689321830357206e-02	-4.906621e+00	-4.051346e+00
6.735359776785778e-02	-4.914833e+00	-4.134778e+00
6.781397723214348e-02	-4.922365e+00	-4.211291e+00
6.827435669642920e-02	-4.929215e+00	-4.280888e+00
6.873473616071490e-02	-4.935385e+00	-4.343566e+00
6.919511562500062e-02	-4.940874e+00	-4.399327e+00
6.965549508928634e-02	-4.945935e+00	-4.450746e+00
7.011587455357204e-02	-4.950636e+00	-4.498507e+00
7.057625401785776e-02	-4.954978e+00	-4.542612e+00
7.103663348214347e-02	-4.958959e+00	-4.583060e+00
7.149701294642918e-02	-4.962581e+00	-4.619851e+00
7.195739241071489e-02	-4.965842e+00	-4.652986e+00
7.241777187500061e-02	-4.968744e+00	-4.682463e+00
7.287815133928632e-02	-4.971419e+00	-4.709645e+00
7.333853080357203e-02	-4.973905e+00	-4.734893e+00
7.379891026785775e-02	-4.976200e+00	-4.758209e+00
7.425928973214345e-02	-4.978304e+00	-4.779591e+00
7.471966919642917e-02	-4.980219e+00	-4.799040e+00
7.518004866071487e-02	-4.981943e+00	-4.816556e+00
7.564042812500059e-02	-4.983477e+00	-4.832139e+00
7.610080758928631e-02	-4.984891e+00	-4.846508e+00
7.656118705357201e-02	-4.986205e+00	-4.859855e+00
7.702156651785773e-02	-4.987418e+00	-4.872180e+00
7.748194598214343e-02	-4.988531e+00	-4.883484e+00
7.794232544642915e-02	-4.989543e+00	-4.893765e+00
7.840270491071485e-02	-4.990454e+00	-4.903025e+00
7.886308437500057e-02	-4.991265e+00	-4.911263e+00
7.932346383928629e-02	-4.992013e+00	-4.918859e+00
7.978384330357199e-02	-4.992707e+00	-4.925915e+00
8.024422276785771e-02	-4.993349e+00	-4.932430e+00
8.070460223214342e-02	-4.993937e+00	-4.938406e+00
8.116498169642913e-02	-4.994472e+00	-4.943841e+00
8.162536116071484e-02	-4.994954e+00	-4.948736e+00
8.208574062500056e-02	-4.995382e+00	-4.953090e+00
8.250000000000000e-02	-4.995746e+00	-4.956781e+00
8.250100000000000e-02	4.020016e+00	-4.955791e+00
8.281012366071398e-02	4.077677e+00	-4.370002e+00
8.311924732142796e-02	4.132367e+00	-3.814398e+00
8.342837098214194e-02	4.184086e+00	-3.288979e+00
8.373749464285590e-02	4.232834e+00	-2.793746e+00
8.404661830356988e-02	4.278610e+00	-2.328698e+00
8.435574196428386e-02	4.321415e+00	-1.893835e+00
8.466486562499784e-02	4.361249e+00	-1.489158e+00
8.498713124999784e-02	4.400696e+00	-1.088411e+00
8.520197499999783e-02	4.425631e+00	-8.350921e-01
8.541681874999783e-02	4.449529e+00	-5.923131e-01
8.552424062499783e-02	4.461102e+00	-4.747382e-01
8.563166249999783e-02	4.472432e+00	-3.596353e-01
8.573908437499783e-02	4.483524e+00	-2.469523e-01
8.584650624999783e-02	4.494382e+00	-1.366384e-01
8.595392812499783e-02	4.505013e+00	-2.864386e-02
8.606134999999783e-02	4.515419e+00	7.708022e-02
8.616877187499783e-02	4.525608e+00	1.805815e-01
8.627619374999783e-02	4.535581e+00	2.819068e-01
8.638361562499783e-02	4.545345e+00	3.811017e-01
8.659845937499783e-02	4.564262e+00	5.732789e-01
8.681330312499783e-02	4.582392e+00	7.574602e-01
8.713556874999782e-02	4.608181e+00	1.019464e+00
8.745783437499782e-02	4.632379e+00	1.265287e+00
8.785682991071210e-02	4.659920e+00	1.545085e+00
8.825582544642639e-02	4.685712e+00	1.807105e+00
8.865482098214067e-02	4.709754e+00	2.051349e+00
8.905381651785496e-02	4.732046e+00	2.277816e+00
8.945281205356924e-02	4.752588e+00	2.486506e+00
8.985180758928353e-02	4.771380e+00	2.677420e+00
9.025080312499781e-02	4.788423e+00	2.850556e+00
9.071118258928353e-02	4.806534e+00	3.034553e+00
9.117156205356923e-02	4.823357e+00	3.205463e+00
9.163194151785495e-02	4.838893e+00	3.363288e+00
9.209232098214065e-02	4.853140e+00	3.508027e+00
9.255270044642637e-02	4.866099e+00	3.639680e+00
9.301307991071209e-02	4.877770e+00	3.758247e+00
9.347345937499779e-02	4.888153e+00	3.863728e+00
9.393383883928351e-02	4.897727e+00	3.960995e+00
9.439421830356921e-02	4.906621e+00	4.051344e+00
9.485459776785493e-02	4.914833e+00	4.134776e+00
9.531497723214064e-02	4.922365e+00	4.211290e+00
9.577535669642635e-02	4.929215e+00	4.280886e+00
9.623573616071207e-02	4.935385e+00	4.343565e+00
9.669611562499777e-02	4.940874e+00	4.399326e+00
9.715649508928349e-02	4.945935e+00	4.450745e+00
9.761687455356920e-02	4.950636e+00	4.498507e+00
9.807725401785491e-02	4.954977e+00	4.542612e+00
9.853763348214062e-02	4.958959e+00	4.583060e+00
9.899801294642634e-02	4.962580e+00	4.619851e+00
9.945839241071205e-02	4.965842e+00	4.652985e+00
9.991877187499776e-02	4.968744e+00	4.682462e+00
1.003791513392835e-01	4.971419e+00	4.709644e+00
1.008395308035692e-01	4.973905e+00	4.734893e+00
1.012999102678549e-01	4.976200e+00	4.758208e+00
1.017602897321406e-01	4.978304e+00	4.779591e+00
1.022206691964263e-01	4.980219e+00	4.799040e+00
1.026810486607120e-01	4.981943e+00	4.816556e+00
1.031414281249977e-01	4.983477e+00	4.832138e+00
1.032641959821406e-01	4.983873e+00	4.836160e+00
1.033869638392835e-01	4.984260e+00	4.840091e+00
1.035097316964263e-01	4.984638e+00	4.843930e+00
1.036324995535692e-01	4.985007e+00	4.847679e+00
1.037552674107120e-01	4.985367e+00	4.851337e+00
1.038780352678549e-01	4.985718e+00	4.854904e+00
1.040008031249977e-01	4.986060e+00	4.858379e+00
1.044611825892835e-01	4.987253e+00	4.870502e+00
1.049215620535692e-01	4.988362e+00	4.881763e+00
1.053819415178549e-01	4.989385e+00	4.892162e+00
1.058423209821406e-01	4.990324e+00	4.901698e+00
1.063027004464263e-01	4.991178e+00	4.910372e+00
1.067630799107120e-01	4.991947e+00	4.918184e+00
1.072234593749977e-01	4.992630e+00	4.925134e+00
1.076199651785695e-01	4.993179e+00	4.930710e+00
1.080164709821412e-01	4.993694e+00	4.935934e+00
1.084129767857130e-01	4.994173e+00	4.940805e+00
1.088094825892847e-01	4.994618e+00	4.945323e+00
1.092059883928565e-01	4.995028e+00	4.949489e+00
1.096024941964282e-01	4.995404e+00	4.953303e+00
1.099990000000000e-01	4.995744e+00	4.956764e+00
