Freq.	V(vout)/V(vin)
1.02597814533714e+01	(-4.39270901905893e+01dB,8.82635658853817e+01°)
1.02668954572000e+01	(-4.39210751226349e+01dB,8.82623626016172e+01°)
1.02740143937897e+01	(-4.39150600623476e+01dB,8.82611584850457e+01°)
1.02811382665607e+01	(-4.39090450097382e+01dB,8.82599535350928e+01°)
1.02882670789358e+01	(-4.39030299648172e+01dB,8.82587477511841e+01°)
1.02954008343400e+01	(-4.38970149275953e+01dB,8.82575411327443e+01°)
1.03025395362008e+01	(-4.38909998980831e+01dB,8.82563336791981e+01°)
1.03096831879479e+01	(-4.38849848762913e+01dB,8.82551253899695e+01°)
1.03168317930136e+01	(-4.38789698622306e+01dB,8.82539162644825e+01°)
1.03239853548325e+01	(-4.38729548559117e+01dB,8.82527063021603e+01°)
1.03311438768414e+01	(-4.38669398573454e+01dB,8.82514955024260e+01°)
1.03383073624797e+01	(-4.38609248665423e+01dB,8.82502838647022e+01°)
1.03454758151891e+01	(-4.38549098835132e+01dB,8.82490713884110e+01°)
1.03526492384138e+01	(-4.38488949082689e+01dB,8.82478580729742e+01°)
1.03598276356002e+01	(-4.38428799408201e+01dB,8.82466439178133e+01°)
1.03670110101973e+01	(-4.38368649811777e+01dB,8.82454289223493e+01°)
1.03741993656562e+01	(-4.38308500293525e+01dB,8.82442130860028e+01°)
1.03813927054306e+01	(-4.38248350853552e+01dB,8.82429964081940e+01°)
1.03885910329767e+01	(-4.38188201491968e+01dB,8.82417788883428e+01°)
1.03957943517528e+01	(-4.38128052208880e+01dB,8.82405605258686e+01°)
1.04030026652199e+01	(-4.38067903004398e+01dB,8.82393413201904e+01°)
1.04102159768412e+01	(-4.38007753878630e+01dB,8.82381212707269e+01°)
1.04174342900823e+01	(-4.37947604831685e+01dB,8.82369003768964e+01°)
1.04246576084113e+01	(-4.37887455863673e+01dB,8.82356786381167e+01°)
1.04318859352987e+01	(-4.37827306974702e+01dB,8.82344560538052e+01°)
1.04391192742173e+01	(-4.37767158164883e+01dB,8.82332326233790e+01°)
1.04463576286424e+01	(-4.37707009434324e+01dB,8.82320083462547e+01°)
1.04536010020517e+01	(-4.37646860783136e+01dB,8.82307832218487e+01°)
1.04608493979254e+01	(-4.37586712211428e+01dB,8.82295572495768e+01°)
1.04681028197458e+01	(-4.37526563719311e+01dB,8.82283304288545e+01°)
1.04753612709981e+01	(-4.37466415306894e+01dB,8.82271027590968e+01°)
1.04826247551694e+01	(-4.37406266974288e+01dB,8.82258742397184e+01°)
1.04898932757495e+01	(-4.37346118721604e+01dB,8.82246448701336e+01°)
1.04971668362308e+01	(-4.37285970548952e+01dB,8.82234146497563e+01°)
1.05044454401076e+01	(-4.37225822456442e+01dB,8.82221835779998e+01°)
1.05117290908771e+01	(-4.37165674444187e+01dB,8.82209516542774e+01°)
1.05190177920388e+01	(-4.37105526512297e+01dB,8.82197188780016e+01°)
1.05263115470945e+01	(-4.37045378660883e+01dB,8.82184852485849e+01°)
1.05336103595484e+01	(-4.36985230890057e+01dB,8.82172507654389e+01°)
1.05409142329075e+01	(-4.36925083199930e+01dB,8.82160154279752e+01°)
1.05482231706807e+01	(-4.36864935590614e+01dB,8.82147792356049e+01°)
1.05555371763798e+01	(-4.36804788062221e+01dB,8.82135421877387e+01°)
1.05628562535187e+01	(-4.36744640614863e+01dB,8.82123042837867e+01°)
1.05701804056139e+01	(-4.36684493248653e+01dB,8.82110655231589e+01°)
1.05775096361844e+01	(-4.36624345963701e+01dB,8.82098259052648e+01°)
