time	V(vb)	V(vc)	V(ve)	V(vin)	V(vout)
6.460544190201739e-04	5.788605e-01	1.102431e+01	1.222167e-03	-7.941982e-01	2.137275e+00
6.509372315201739e-04	5.605944e-01	1.102767e+01	6.164460e-04	-8.124643e-01	2.135895e+00
6.558200440201739e-04	5.430930e-01	1.103008e+01	3.158254e-04	-8.299657e-01	2.133573e+00
6.607028565201739e-04	5.263727e-01	1.103202e+01	1.652696e-04	-8.466860e-01	2.130789e+00
6.655856690201739e-04	5.104493e-01	1.103373e+01	8.854333e-05	-8.626094e-01	2.127782e+00
6.704684815201739e-04	4.953378e-01	1.103533e+01	4.849556e-05	-8.777210e-01	2.124665e+00
6.753512940201739e-04	4.810523e-01	1.103686e+01	2.713589e-05	-8.920064e-01	2.121495e+00
6.802341065201739e-04	4.676064e-01	1.103837e+01	1.540504e-05	-9.054524e-01	2.118300e+00
6.851169190201739e-04	4.550126e-01	1.103985e+01	8.869131e-06	-9.180461e-01	2.115094e+00
6.899997315201739e-04	4.432828e-01	1.104133e+01	5.091229e-06	-9.297759e-01	2.111884e+00
6.948825440201739e-04	4.324282e-01	1.104280e+01	2.930253e-06	-9.406305e-01	2.108675e+00
6.997653565201739e-04	4.224588e-01	1.104426e+01	1.620431e-06	-9.505999e-01	2.105467e+00
7.046481690201739e-04	4.133841e-01	1.104572e+01	8.870636e-07	-9.596746e-01	2.102263e+00
7.095309815201739e-04	4.052126e-01	1.104717e+01	4.239146e-07	-9.678461e-01	2.099062e+00
7.144137940201739e-04	3.979520e-01	1.104862e+01	2.051872e-07	-9.751067e-01	2.095866e+00
7.192966065201739e-04	3.916092e-01	1.105008e+01	6.286557e-08	-9.814495e-01	2.092674e+00
7.290622315201740e-04	3.816997e-01	1.105297e+01	4.196910e-08	-9.913590e-01	2.086304e+00
7.388278565201740e-04	3.755215e-01	1.105585e+01	1.777518e-07	-9.975373e-01	2.079954e+00
7.485934815201740e-04	3.730978e-01	1.105873e+01	4.010863e-07	-9.999610e-01	2.073622e+00
7.583591065201740e-04	3.744377e-01	1.106159e+01	6.925470e-07	-9.986210e-01	2.067309e+00
7.681247315201740e-04	3.795362e-01	1.106445e+01	1.065021e-06	-9.935226e-01	2.061016e+00
7.778903565201740e-04	3.883741e-01	1.106730e+01	1.572785e-06	-9.846847e-01	2.054741e+00
7.827731690201740e-04	3.941854e-01	1.106872e+01	1.939341e-06	-9.788733e-01	2.051610e+00
7.876559815201740e-04	4.009181e-01	1.107013e+01	2.357816e-06	-9.721407e-01	2.048484e+00
7.925387940201740e-04	4.085656e-01	1.107155e+01	2.977112e-06	-9.644931e-01	2.045362e+00
7.974216065201740e-04	4.171210e-01	1.107296e+01	3.792662e-06	-9.559377e-01	2.042245e+00
8.023044190201740e-04	4.265760e-01	1.107437e+01	5.052460e-06	-9.464827e-01	2.039130e+00
8.071872315201740e-04	4.369219e-01	1.107577e+01	6.928867e-06	-9.361368e-01	2.036019e+00
8.120700440201740e-04	4.481488e-01	1.107717e+01	9.991627e-06	-9.249099e-01	2.032908e+00
8.169528565201740e-04	4.602461e-01	1.107856e+01	1.501276e-05	-9.128126e-01	2.029797e+00
8.218356690201740e-04	4.732026e-01	1.107994e+01	2.370331e-05	-8.998561e-01	2.026678e+00
8.267184815201740e-04	4.870060e-01	1.108130e+01	3.905722e-05	-8.860527e-01	2.023544e+00
8.316012940201740e-04	5.016434e-01	1.108261e+01	6.720187e-05	-8.714154e-01	2.020375e+00
8.364841065201741e-04	5.171008e-01	1.108384e+01	1.200834e-04	-8.559579e-01	2.017134e+00
8.413669190201741e-04	5.333639e-01	1.108492e+01	2.222625e-04	-8.396949e-01	2.013746e+00
